"goingout","gender","age","country","state","X100grandbar","maryjanes","blackjacks","bonkers","bottlecaps","butterfinger","cadburycremeeggs","candycorn","caramellos","chickosticks","chiclets","coffeecrisp","dots","googooclusters","goodplenty","gummybears","heathbar","hersheysdarkchocolate","hersheysmilkchocolate","hersheyskisses","jollyranchers","almondjoy","juniormints","kinderhappyhippo","kitkat","laffytaffy","lemonhead","redlicorice","blacklicorice","lindttruffle","lollipops","mars","maynards","mikeike","milkduds","milkyway","mms","peanutbuttermms","hersheysmintkisses","mrgoodbar","neccowafers","nerds","crunchbar","nowlater","peeps","pixiesticks","reesespeanutbuttercup","reesespieces","reggiejacksonbar","rolos","skittles","americansmarties","europeansmarties","snickers","sourpatchkids","starburst","sweettarts","swedishfish","sweetumsafriendtodiabetes","take5","tictacs","X3musketeers","tolberone","trailmix","twix","yorkpeppermintpatties"
"No","Male",46,"USA","NV","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","JOY","MEH","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","DESPAIR"
"No","Male",42,"USA","CA","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR"
"No","Male",NA,"USA","MO","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH"
"No","Male",48,"USA","CALIFORNIA","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","JOY","JOY"
"Yes","Female",43,"USA","WA","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY"
"Yes","Male",45,"UK","GREATERLONDON","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY"
"No","Male",NA,"CANADA","ON","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR"
"No","Male",54,"USA","TX","JOY","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY"
"No","Male",53,"USA","NY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","JOY"
"No","Female",32,"USA","MN","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","MEH"
"No","Female",24,"USA","OH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR"
"No","Male",39,"USA","WA","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR"
"No","Male",60,"USA","WA","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY"
"No","Male",48,"USA","VA","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","MEH","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","MEH","JOY","JOY"
"No","Female",33,"USA","IL","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY"
"No","Female",26,"USA","WA","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH"
"Yes","Male",40,"USA","WV","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH"
"No","Male",36,"USA","VA","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY"
"No","Female",40,"USA","PA","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY"
"No","Male",50,"USA","FL","JOY","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",52,"USA","AL","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY"
"No","Other",NA,"CANADA","BC","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY"
"No","Male",58,"USA","CA","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY"
"No","Male",54,"USA","OR","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH"
"No","Male",63,"USA","GA","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","JOY"
"No","Male",28,"USA","WA","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY"
"No","Male",34,"USA","WA","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY"
"No","Male",39,"USA","OR","MEH","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH"
"No","Male",56,"USA","NJ","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY"
"No","OptOut",41,"USA","IL","MEH","MEH","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH"
"No","Male",44,"USA","NE","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","JOY","JOY"
"No","Male",34,"CANADA","AB","MEH","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY"
"Yes","Male",35,"USA","IL","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","JOY"
"No","Female",48,"USA","FL","MEH","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","MEH"
"No","Male",52,"USA","CALIFORNIA","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY"
"No","Male",38,"USA","IN","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY"
"No","Female",50,"USA","IL","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR"
"No","Male",40,"COSTARICA","CALIFORNIA","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",44,"USA","FL","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","MEH","JOY"
"No","Male",48,"CANADA","ON","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH"
"No","Male",61,"USA","MA","MEH","MEH","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY"
